"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.904219708E0,8.804474205E-1,-1.812759644E-1,2.465199275E-1,9.321055252E-1
2.914170708E0,8.332662374E-1,2.477833647E-1,5.667355299E-1,1.037746780E0
2.924122708E0,7.267364001E-1,6.242592680E-1,8.482672691E-1,1.279610405E0
2.934074708E0,5.768126214E-1,8.457044345E-1,1.149733482E0,1.539420628E0
2.944026708E0,5.101900309E-1,1.107838036E0,1.392434301E0,1.851073273E0
2.953977708E0,6.147826856E-1,1.367742679E0,1.156184130E0,1.893525687E0
2.963929708E0,6.450899738E-1,1.521723840E0,9.003764856E-1,1.882143017E0
2.973881708E0,5.398020852E-1,1.523279784E0,7.732023226E-1,1.791538284E0
2.983833708E0,3.742486989E-1,1.549650142E0,5.636704195E-1,1.690917501E0
2.993785708E0,8.551085114E-2,1.489945977E0,5.268965493E-1,1.582678456E0
3.003736708E0,-2.032743591E-1,1.487414718E0,6.998981188E-1,1.656375677E0
3.013688708E0,-2.321876711E-1,1.589163287E0,6.955420893E-1,1.750179952E0
3.023640708E0,-6.536134601E-2,1.621221231E0,3.387068371E-1,1.657514014E0
3.033592708E0,1.017099774E-1,1.631945025E0,2.283470736E-1,1.650979064E0
3.043543708E0,3.402108872E-1,1.764083328E0,1.740447128E-1,1.804999999E0
3.053495708E0,5.451680750E-1,1.823155409E0,6.372821867E-2,1.903986649E0
3.063450875E0,7.581505662E-1,1.866622440E0,-8.719616488E-2,2.016599808E0
3.073402875E0,1.010377230E0,1.860731955E0,-2.550472145E-1,2.132659053E0
3.083353875E0,1.205770712E0,1.781371790E0,-4.189898390E-1,2.191511111E0
3.093305875E0,1.334146332E0,1.693153678E0,-4.759411347E-1,2.207540662E0
3.103257875E0,1.398947514E0,1.671805494E0,-5.521670459E-1,2.248749920E0
3.113209875E0,1.474340343E0,1.723479093E0,-5.546366175E-1,2.334883596E0
3.123161875E0,1.574862167E0,1.848268030E0,-4.123721065E-1,2.462993364E0
3.133112875E0,1.775335709E0,1.821971347E0,-3.697891738E-1,2.570630371E0
3.143064875E0,2.058053264E0,1.701710494E0,-2.962510814E-1,2.686850674E0
