"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.838565958E0,2.336079890E0,-4.415807320E0,-9.281653195E0,1.054066931E1
2.848517958E0,1.868594998E0,-4.438006859E0,-1.094272496E1,1.195536623E1
2.858469958E0,1.221042250E0,-4.249381530E0,-1.249167109E1,1.325103899E1
2.868421958E0,7.054142359E-1,-4.053221770E0,-1.365807601E1,1.426426501E1
2.878372958E0,5.356218376E-1,-3.919327548E0,-1.409760185E1,1.464207626E1
2.888324958E0,6.889211409E-1,-3.916979307E0,-1.338747622E1,1.396573875E1
2.898276958E0,1.038499487E0,-3.887461393E0,-1.151970481E1,1.220223078E1
2.908227958E0,1.413781754E0,-3.659520262E0,-8.887920989E0,9.715246106E0
2.918179958E0,1.808815404E0,-3.197659515E0,-5.683836261E0,6.767779117E0
2.928131958E0,1.923832475E0,-2.168304562E0,-1.957707442E0,3.497898583E0
2.938082958E0,1.660044404E0,-1.173095886E0,1.894893143E0,2.778942498E0
2.948034958E0,1.541659922E0,-9.630036736E-1,5.727854685E0,6.009360256E0
2.957986958E0,1.586043505E0,-7.067561719E-1,9.261708927E0,9.423072245E0
2.967937958E0,1.275177162E0,-1.504026657E-1,1.193835141E1,1.200720335E1
2.977889958E0,6.720590866E-1,1.539178364E0,1.343137244E1,1.353597056E1
2.987841958E0,1.120705857E-1,2.836924316E0,1.435977931E1,1.463775807E1
2.997792958E0,-2.463157135E-1,2.510922163E0,1.507294081E1,1.528263545E1
3.007744958E0,-8.249795634E-1,1.691883663E0,1.530302875E1,1.541835758E1
3.017696958E0,-1.762462772E0,1.733486018E0,1.470299917E1,1.490937402E1
3.027652333E0,-2.409738289E0,2.342015106E0,1.382193136E1,1.422454428E1
3.037603333E0,-2.173684731E0,2.478974731E0,1.308848236E1,1.349735498E1
3.047555333E0,-1.305388556E0,1.756699756E0,1.174871802E1,1.195083296E1
3.057507333E0,-5.809632674E-1,6.899226227E-1,9.504746107E0,9.547445213E0
3.067458333E0,-4.502697384E-1,1.035971662E-1,6.298262851E0,6.315187262E0
3.077410333E0,-3.816845300E-1,3.478531981E-1,2.442553886E0,2.496548500E0
3.087362333E0,-3.301629587E-1,9.455599675E-1,-1.415067703E0,1.733640054E0
